id,date,market,commodities,price
135,2020-01-08,Bwaise,BEANS,1764
136,2020-05-15,Nakasero,BEANS,3191
137,2020-07-13,Nakasero,BEANS,794
138,2020-12-16,Nakasero,MAIZE,4055
139,2020-12-26,Mukono,BEANS,2953
140,2021-02-11,Mukono,Beans,4028
141,2020-10-16,Bwaise,MAIZE,3633
142,2021-04-12,,MAIZE,2580
143,2021-04-05,Kansanga,Beans,1794
144,2020-10-27,Nakasero,BEANS,4242
145,2020-07-15,Kansanga,Maize,3440
146,2020-05-31,Mukono,BEANS,901
147,2021-03-02,Nakasero,MAIZE,3386
148,2020-05-08,Bwaise,Maize,822
149,2020-10-23,Nakasero,MAIZE,2917
150,2020-04-12,Bwaise,Beans,2732
151,2021-02-26,Kansanga,Beans,3274
152,2020-02-08,Bwaise,MAIZE,3755
153,2020-07-06,Mukono,BEANS,-2000
154,2020-12-10,Nakasero,BEANS,3543
155,2020-01-13,,Beans,2313
156,2020-08-25,Nakasero,BEANS,871
157,2020-09-09,Mukono,Maize,4903
158,2020-12-09,,BEANS,1765
159,2021-03-02,Kansanga,BEANS,2791
160,2020-08-15,Kansanga,MAIZE,1313
161,2021-04-06,Nakasero,Maize,2054
162,2021-02-25,Kansanga,Maize,674
163,2020-03-05,,MAIZE,2197
164,2020-04-29,Nakasero,MAIZE,523
165,2020-03-07,,Beans,1400
166,2020-14-50,Mukono,Beans,2449
167,2020-14-50,Nakasero,Maize,3948
168,2020-08-31,Kansanga,Beans,1393
169,2020-11-10,Mukono,Beans,755
170,2020-07-24,Kansanga,Maize,4133
171,2020-11-07,Bwaise,Maize,4992
172,2020-11-01,,Beans,4024
173,2021-03-12,,MAIZE,2371
174,2020-07-23,Kansanga,Maize,3060
175,2020-03-19,Kansanga,Maize,1199
176,2021-01-13,Nakasero,MAIZE,3200
177,2021-03-23,Kansanga,Maize,3059
178,2020-04-18,Bwaise,BEANS,1386
179,2020-02-28,Nakasero,MAIZE,715
180,2020-12-21,Nakasero,Maize,3031
181,2020-04-02,Bwaise,BEANS,751
182,2020-07-11,Kansanga,BEANS,3531
183,2021-04-27,,Maize,1774
184,2020-12-11,Mukono,Beans,3973
185,2020-05-19,Bwaise,Maize,1408
186,2020-09-06,,Beans,-2000
187,2020-01-04,Bwaise,Beans,1624
188,2020-03-02,Mukono,BEANS,1939
189,2020-04-27,,Beans,846
190,2020-02-09,Nakasero,BEANS,3921
191,2021-05-09,Nakasero,MAIZE,4269
192,2020-02-15,Kansanga,Maize,3780
193,2020-06-07,Nakasero,MAIZE,1877
194,2020-09-28,,MAIZE,3362
195,2020-11-26,Bwaise,MAIZE,2596
196,2021-01-24,Mukono,MAIZE,4547
197,2020-10-23,Kansanga,Beans,3089
198,2020-08-14,Nakasero,Beans,3383
199,2020-08-19,Mukono,Maize,2851
200,2021-03-13,Mukono,BEANS,836
201,2020-11-29,Bwaise,Beans,4607
202,2020-02-22,Nakasero,Maize,1913
203,2020-08-12,,MAIZE,2817
204,2020-12-13,,Maize,3241
205,2020-12-13,Kansanga,Beans,1731
206,2020-03-13,Nakasero,Beans,3710
207,2020-02-13,Nakasero,BEANS,3190
208,2021-02-28,,Maize,3968
209,2020-14-50,Nakasero,MAIZE,3299
210,2020-04-25,Bwaise,MAIZE,1328
211,2021-01-13,,Maize,1573
212,2020-04-02,,MAIZE,857
213,2020-05-01,Kansanga,Beans,4177
214,2021-05-09,Kansanga,MAIZE,4109
215,2020-07-14,,BEANS,2135
216,2020-05-08,Mukono,BEANS,1340
217,2020-03-04,Nakasero,Maize,2734
218,2021-03-01,Kansanga,Maize,2318
219,2021-04-21,Mukono,BEANS,4612
220,2020-02-11,Nakasero,MAIZE,-2000
221,2020-11-28,Nakasero,MAIZE,2850
222,2021-03-01,Bwaise,BEANS,543
223,2020-14-50,Bwaise,MAIZE,4823
224,2020-05-01,Nakasero,Maize,-2000
225,2020-08-22,Mukono,Maize,4594
226,2020-14-50,,MAIZE,2886
227,2020-05-03,,BEANS,1201
228,2021-05-03,,Maize,4351
229,2020-07-10,Nakasero,Maize,1053
230,2020-11-17,Mukono,Beans,3386
231,2020-03-30,Kansanga,BEANS,1604
232,2020-08-22,Mukono,Beans,2134
233,2020-06-07,,BEANS,4948
234,2020-11-27,Bwaise,Beans,891
235,2020-03-04,Nakasero,BEANS,4102
236,2021-05-13,Bwaise,BEANS,3509
237,2021-02-14,Mukono,BEANS,1978
238,2020-02-10,Nakasero,Beans,3990
239,2020-08-16,Mukono,Beans,4063
240,2021-04-30,Mukono,Maize,3827
241,2020-12-13,Bwaise,Maize,4089
242,2021-02-02,Nakasero,Beans,765
243,2021-04-30,Nakasero,Beans,1129
244,2020-07-22,Nakasero,Beans,1429
245,2020-09-22,Kansanga,Maize,2632
246,2020-11-09,Nakasero,BEANS,1611
247,2021-04-05,Kansanga,Maize,3118
248,2020-10-08,,Beans,1790
249,2020-11-22,Bwaise,Beans,1494
250,2020-05-01,Kansanga,Maize,3522
251,2020-03-07,,Maize,3761
252,2020-09-26,Kansanga,BEANS,1104
253,2020-02-07,Kansanga,BEANS,3322
254,2020-10-09,,MAIZE,1557
255,2020-01-29,Mukono,MAIZE,1826
256,2020-06-26,,Beans,2552
257,2020-05-20,Bwaise,Beans,1265
258,2021-04-27,,MAIZE,3265
259,2021-02-26,Mukono,Maize,-2000
260,2020-11-29,Bwaise,BEANS,748
261,2020-05-28,Nakasero,BEANS,3826
262,2020-01-31,Bwaise,BEANS,4304
263,2020-06-09,Nakasero,Beans,1571
264,2020-02-24,Nakasero,MAIZE,2691
265,2020-01-26,Nakasero,BEANS,3925
266,2020-03-22,Nakasero,Beans,1805
267,2020-09-12,Nakasero,BEANS,-2000
268,2021-05-09,Bwaise,MAIZE,898
269,2021-03-27,Kansanga,Beans,1380
270,2021-01-07,Nakasero,BEANS,3781
271,2020-07-04,,Beans,4630
272,2021-02-26,,Maize,1292
273,2020-06-22,,Beans,2130
274,2020-01-21,Mukono,Maize,3228
275,2020-03-17,,MAIZE,3109
276,2021-01-13,Nakasero,Beans,4675
277,2020-06-02,Kansanga,Maize,1397
278,2021-02-11,Mukono,BEANS,2364
279,2020-03-28,,BEANS,2484
280,2020-02-26,Bwaise,Maize,3930
281,2020-07-29,,BEANS,1010
282,2020-10-14,Nakasero,BEANS,3070
283,2020-09-29,Nakasero,Beans,2665
284,2020-05-06,Nakasero,Beans,2938
285,2020-12-19,Kansanga,Beans,2740
286,2020-10-05,Kansanga,BEANS,1699
287,2020-12-31,Mukono,Beans,2600
288,2021-02-27,,Beans,2725
289,2020-10-27,Bwaise,MAIZE,4850
290,2020-02-21,Kansanga,Beans,1323
291,2021-05-08,,MAIZE,4396
292,2021-05-08,Nakasero,Beans,984
293,2020-10-20,Bwaise,Maize,1934
294,2021-04-23,Mukono,BEANS,2026
295,2021-04-19,Nakasero,Maize,-2000
296,2020-06-20,Nakasero,BEANS,4950
297,2020-03-09,,BEANS,1422
298,2020-11-27,Nakasero,MAIZE,-2000
299,2020-12-11,Bwaise,MAIZE,3821
300,2020-02-14,Kansanga,Maize,1651
301,2020-01-04,Nakasero,BEANS,2687
302,2021-01-05,,Maize,3445
303,2020-03-01,Kansanga,Beans,4616
304,2021-01-29,Nakasero,Maize,2916
305,2021-05-05,Bwaise,BEANS,3560
306,2020-08-29,,MAIZE,1170
307,2020-07-04,Mukono,Maize,4986
308,2020-10-01,Bwaise,MAIZE,4762
309,2021-01-02,,BEANS,4680
310,2020-03-08,,BEANS,972
311,2020-06-06,Mukono,BEANS,524
312,2020-01-24,Kansanga,Beans,4933
313,2020-02-05,Kansanga,Maize,1974
314,2021-05-15,Kansanga,Beans,3633
315,2020-07-12,Kansanga,Maize,4917
316,2020-03-01,Bwaise,BEANS,2324
317,2021-05-15,Nakasero,BEANS,4960
318,2020-04-27,Bwaise,BEANS,2758
319,2021-01-26,Mukono,Maize,3934
320,2021-03-31,Mukono,MAIZE,1326
321,2020-12-10,Mukono,MAIZE,3795
322,2021-01-21,Mukono,MAIZE,2869
323,2020-10-21,Nakasero,Beans,1673
324,2020-07-30,Nakasero,Beans,1934
325,2020-09-10,Mukono,Beans,3622
326,2020-08-01,Kansanga,MAIZE,2006
327,2021-03-10,Bwaise,Beans,1682
328,2020-10-14,Kansanga,BEANS,1598
329,2020-06-18,Mukono,BEANS,1257
330,2020-01-27,Nakasero,BEANS,823
331,2021-01-24,,MAIZE,3227
332,2020-04-18,Bwaise,Maize,4423
333,2020-12-26,Bwaise,BEANS,3134
334,2020-09-30,Nakasero,Beans,4700
335,2021-02-15,Kansanga,Beans,3536
336,2021-03-18,Bwaise,MAIZE,-2000
337,2021-01-03,Kansanga,Beans,3202
338,2020-05-05,Kansanga,Beans,4502
339,2020-09-08,Kansanga,MAIZE,3385
340,2020-09-07,Bwaise,Maize,1108
341,2021-01-26,Mukono,BEANS,2395
342,2020-04-21,,BEANS,4458
343,2020-14-50,,BEANS,-2000
344,2021-05-15,Nakasero,Maize,4027
345,2020-02-24,Mukono,MAIZE,4812
346,2021-02-11,Kansanga,Maize,3826
347,2020-12-22,Bwaise,Beans,1160
348,2021-01-23,Mukono,Maize,3589
349,2020-01-05,Bwaise,Maize,4054
350,2021-05-15,Mukono,Maize,4395
351,2020-12-16,Nakasero,Maize,3076
351,2020-03-14,Kansanga,Maize,2469
353,2020-12-12,,Beans,1646
354,2020-02-10,,Beans,4080
355,2020-11-05,,BEANS,3173
356,2020-08-18,Kansanga,MAIZE,3575
357,2020-12-04,Kansanga,Maize,2919
358,2020-02-12,Nakasero,MAIZE,1763
359,2020-02-24,Mukono,Maize,4143
360,2020-03-08,Mukono,MAIZE,4697
361,2020-14-50,Nakasero,Maize,3157
362,2020-14-50,Kansanga,BEANS,2488
363,2020-07-13,Bwaise,MAIZE,2698
364,2020-08-10,Nakasero,BEANS,1130
365,2021-01-04,Kansanga,MAIZE,1609
366,2020-06-19,,BEANS,3199
367,2021-02-25,,MAIZE,2145
368,2020-07-22,Nakasero,Beans,4522
369,2020-06-15,Kansanga,Beans,3718
370,2020-04-12,,MAIZE,720
371,2020-12-28,Bwaise,BEANS,1066
372,2020-07-28,Kansanga,MAIZE,2482
373,2020-08-04,Kansanga,Maize,4425
374,2021-04-17,Kansanga,Maize,3445
375,2020-10-31,Mukono,Maize,3408
376,2020-10-15,Kansanga,Beans,4026
377,2020-04-23,,MAIZE,3704
378,2020-12-19,,MAIZE,701
379,2021-04-16,Mukono,Maize,1660
380,2021-02-05,Bwaise,BEANS,1299
381,2020-06-12,Mukono,Beans,-2000
382,2020-14-50,Nakasero,Maize,1846
383,2020-09-21,Bwaise,MAIZE,3992
384,2020-07-26,Bwaise,MAIZE,4040
385,2021-03-28,Bwaise,BEANS,3685
385,2020-05-22,Mukono,Maize,4898
387,2020-08-22,Mukono,Beans,4509
388,2020-11-01,Kansanga,BEANS,3350
389,2020-03-29,Nakasero,Maize,3065
390,2020-04-03,Nakasero,MAIZE,3926
391,2020-08-04,Bwaise,BEANS,1919
392,2020-03-12,Bwaise,Beans,939
393,2020-09-05,Bwaise,MAIZE,4640
394,2020-09-08,Kansanga,BEANS,1177
395,2020-04-22,Nakasero,Maize,4904
396,2020-10-16,Kansanga,Maize,2694
397,2020-07-06,,Maize,4115
398,2020-02-22,Bwaise,Beans,764
399,2021-02-22,Mukono,BEANS,1461
400,2021-02-19,,Beans,4007
401,2020-04-15,Bwaise,Maize,4860
402,2020-06-14,Nakasero,Beans,4714
403,2020-02-18,Bwaise,BEANS,2771
404,2021-03-19,Bwaise,MAIZE,3138
405,2020-12-12,Kansanga,BEANS,2701
406,2020-02-08,Mukono,BEANS,2779
407,2020-08-20,Kansanga,Beans,1263
408,2020-12-06,Nakasero,Maize,3758
409,2020-04-18,Kansanga,Beans,2823
410,2020-10-16,Kansanga,Beans,896
411,2021-03-04,Kansanga,Maize,1794
412,2020-14-50,Kansanga,MAIZE,1580
413,2021-03-23,Nakasero,Maize,2551
414,2020-11-28,Bwaise,Maize,3002
415,2020-08-07,Mukono,Maize,-2000
416,2020-04-25,,BEANS,-2000
417,2021-03-16,Kansanga,MAIZE,2375
418,2020-02-22,Mukono,Beans,2951
419,2021-01-20,Bwaise,MAIZE,569
420,2020-06-28,Bwaise,MAIZE,4124
421,2020-02-21,Bwaise,Maize,3645
422,2021-02-09,Bwaise,MAIZE,1190
423,2021-01-04,,Beans,719
424,2020-06-03,Bwaise,MAIZE,2921
425,2021-02-10,Bwaise,BEANS,2474
426,2020-09-27,Mukono,Beans,1581
427,2020-08-03,Nakasero,MAIZE,1097
427,2020-05-14,Bwaise,Maize,3760
429,2020-09-13,Kansanga,BEANS,1175
430,2020-03-19,Nakasero,Maize,4688
431,2020-03-20,,Beans,1041
432,2021-05-03,Bwaise,Maize,4059
433,2020-01-29,Nakasero,MAIZE,1624
434,2021-05-02,Nakasero,Beans,1539
435,2021-01-10,Mukono,Maize,4017
436,2020-12-30,,Maize,4684
437,2020-10-17,Bwaise,Beans,1342
438,2020-02-29,Bwaise,Maize,-2000
439,2020-08-29,Nakasero,BEANS,1966
440,2020-10-10,Kansanga,MAIZE,3909
441,2021-02-26,Mukono,Beans,931
442,2020-01-24,Kansanga,Maize,2812
443,2020-02-14,,BEANS,-2000
444,2020-06-04,,MAIZE,4541
445,2021-01-10,,MAIZE,3859
446,2020-11-21,Mukono,Beans,-2000
447,2021-01-07,Nakasero,Maize,2451
448,2021-05-12,Bwaise,Beans,2396
449,2020-12-24,Nakasero,BEANS,1195
450,2020-11-22,Kansanga,Maize,1010
451,2020-05-01,Nakasero,Beans,3719
452,2020-06-11,Kansanga,Beans,2160
453,2020-02-25,Bwaise,Maize,4317
454,2020-07-02,Bwaise,BEANS,2670
455,2021-02-17,Nakasero,Maize,3185
456,2021-05-10,Nakasero,BEANS,2948
457,2020-01-16,Kansanga,BEANS,2546
458,2021-02-10,Bwaise,Maize,-2000
459,2020-03-07,Bwaise,BEANS,1188
460,2021-02-20,Mukono,Maize,2119
461,2020-03-06,Mukono,Beans,4276
462,2020-08-09,Kansanga,BEANS,-2000
463,2020-04-19,Bwaise,Beans,1717
464,2020-05-05,Nakasero,BEANS,4424
465,2020-03-11,Kansanga,MAIZE,4807
466,2020-10-05,Mukono,BEANS,3441
467,2020-06-25,,Beans,1973
468,2020-01-16,Nakasero,Maize,4364
469,2020-04-29,Bwaise,Maize,2475
470,2021-04-14,Mukono,MAIZE,3681
471,2021-03-08,Bwaise,MAIZE,3105
472,2021-04-12,,Maize,3380
473,2020-10-15,Bwaise,BEANS,1938
474,2020-04-29,,MAIZE,-2000
475,2020-11-10,Bwaise,MAIZE,1953
476,2020-06-14,Mukono,Maize,1660
477,2021-03-16,Nakasero,Maize,3740
478,2020-06-14,Bwaise,MAIZE,4078
479,2020-11-28,Nakasero,MAIZE,3423
480,2020-03-30,Kansanga,Beans,2912
481,2021-04-30,,BEANS,765
482,2021-02-18,,MAIZE,1352
483,2021-01-16,Mukono,MAIZE,3117
484,2020-02-15,Nakasero,BEANS,-2000
485,2020-06-28,Nakasero,Maize,894
486,2021-05-11,Bwaise,BEANS,3602
487,2021-02-28,Kansanga,MAIZE,1103
488,2020-01-11,Nakasero,Beans,1107
489,2020-03-23,Mukono,Maize,4454
490,2020-11-30,Bwaise,BEANS,1329
491,2020-07-28,,Beans,2936
492,2020-10-19,,BEANS,3455
492,2021-02-25,,BEANS,710
494,2021-05-15,Mukono,BEANS,3026
495,2021-04-03,Nakasero,Maize,3674
496,2020-07-08,Bwaise,BEANS,-2000
497,2021-03-04,Nakasero,Maize,1292
498,2020-10-04,Kansanga,MAIZE,3671
499,2020-10-01,Kansanga,MAIZE,1146
500,2020-01-18,,MAIZE,4178
501,2021-05-12,Bwaise,MAIZE,3968
502,2020-04-13,Bwaise,Beans,1048
503,2020-10-09,Nakasero,Beans,601
504,2020-09-24,Kansanga,Maize,1714
505,2021-05-08,Mukono,Maize,1327
506,2021-03-26,Nakasero,BEANS,4477
507,2020-03-29,Nakasero,BEANS,3790
508,2020-06-18,Bwaise,Maize,2700
509,2020-14-50,Nakasero,Beans,4527
510,2021-05-12,Bwaise,MAIZE,4129
511,2021-01-08,Kansanga,Maize,2231
512,2020-09-05,,Beans,4721
513,2020-12-29,,BEANS,4794
514,2020-14-50,Bwaise,MAIZE,2543
515,2020-07-03,Bwaise,Beans,4302
516,2020-03-04,Mukono,MAIZE,4154
517,2020-10-27,,Beans,2618
518,2020-05-25,Mukono,BEANS,-2000
519,2020-04-19,Bwaise,MAIZE,2704
520,2021-03-18,Mukono,BEANS,1918
521,2020-14-50,Nakasero,Beans,2755
522,2020-06-27,Kansanga,Beans,2975
523,2020-07-22,,Maize,-2000
524,2021-03-05,Nakasero,Beans,1385
525,2020-05-21,Nakasero,Beans,2947
526,2020-05-03,Mukono,BEANS,1646
527,2020-05-31,Nakasero,BEANS,789
528,2021-02-21,Bwaise,Beans,2321
529,2020-08-31,Nakasero,Beans,1983
530,2021-01-14,Nakasero,MAIZE,3249
531,2020-04-24,Nakasero,BEANS,3214
532,2020-08-25,Mukono,BEANS,1083
533,2020-03-02,Kansanga,Beans,1735
534,2020-07-28,,BEANS,1977
535,2020-11-19,Bwaise,Beans,538
536,2021-01-31,Bwaise,MAIZE,1221
537,2020-08-07,Kansanga,BEANS,3640
537,2021-01-09,Nakasero,Maize,4850
539,2020-11-16,Bwaise,MAIZE,3320
540,2020-09-14,,Beans,874
541,2021-01-07,,Beans,1596
542,2020-07-02,Bwaise,MAIZE,3804
542,2020-03-08,Bwaise,Maize,1884
544,2021-02-09,Mukono,BEANS,2595
545,2020-10-31,Mukono,Maize,661
546,2020-08-15,Kansanga,Maize,4386
547,2020-12-17,Mukono,Beans,1327
548,2020-11-06,Bwaise,BEANS,1359
549,2020-05-24,Mukono,Maize,2136
550,2021-05-13,Bwaise,Beans,2919
551,2021-04-11,Bwaise,BEANS,522
551,2020-02-26,,BEANS,1237
553,2021-01-05,Mukono,Beans,4241
554,2020-08-25,Mukono,Maize,823
555,2020-12-12,Nakasero,BEANS,1278
556,2020-01-05,Bwaise,MAIZE,4085
557,2021-01-10,Mukono,Beans,1998
558,2020-08-21,Nakasero,BEANS,4417
559,2021-02-12,Bwaise,Maize,980
560,2020-02-23,Kansanga,BEANS,4089
561,2020-07-02,,Maize,1570
562,2021-03-30,Kansanga,BEANS,-2000
563,2020-12-26,,MAIZE,3271
564,2020-11-12,Mukono,BEANS,2536
565,2020-11-24,Kansanga,MAIZE,947
565,2020-09-15,Kansanga,BEANS,1113
567,2020-06-18,Nakasero,Maize,3601
568,2020-08-23,Kansanga,BEANS,4583
569,2020-09-11,Mukono,Maize,793
570,2020-14-50,Mukono,Beans,2194
571,2020-06-23,Nakasero,Maize,4222
572,2020-11-03,Kansanga,Beans,1434
573,2020-01-02,Nakasero,Beans,2891
574,2020-02-24,Mukono,MAIZE,3852
575,2020-04-06,Mukono,BEANS,2061
576,2020-07-31,Mukono,Maize,4190
577,2020-09-15,Bwaise,BEANS,-2000
578,2020-08-09,,BEANS,1951
579,2021-02-21,Bwaise,Maize,3136
580,2020-11-07,Bwaise,Beans,3308
581,2020-03-09,Bwaise,BEANS,4696
582,2021-03-16,Nakasero,MAIZE,2880
583,2020-03-08,Bwaise,Beans,3385
584,2021-04-27,Kansanga,Beans,3960
585,2020-01-13,Kansanga,MAIZE,963
586,2020-03-23,Nakasero,Beans,1008
587,2021-01-20,,Maize,4207
588,2021-01-13,,MAIZE,3685
589,2021-02-12,Nakasero,Maize,3674
590,2020-12-16,Nakasero,Maize,-2000
591,2021-02-03,Kansanga,MAIZE,3512
592,2020-11-04,Bwaise,MAIZE,1953
593,2021-05-07,Bwaise,Maize,4010
594,2020-03-23,,Beans,-2000
595,2020-01-21,Bwaise,Beans,2967
596,2020-07-02,Mukono,Beans,2006
597,2020-03-22,Kansanga,BEANS,2312
598,2020-06-18,Nakasero,Beans,4845
599,2021-01-20,Mukono,Maize,4150
600,2021-04-15,,MAIZE,3129
601,2020-02-28,Kansanga,Beans,2816
602,2021-01-29,Nakasero,BEANS,2928
603,2020-09-20,Mukono,Maize,4907
604,2020-04-17,Bwaise,BEANS,2184
605,2021-05-14,Kansanga,Maize,1759
606,2020-01-20,Mukono,Maize,2563
607,2020-04-26,Nakasero,BEANS,3813
608,2020-14-50,Mukono,Maize,1018
609,2020-12-24,Mukono,Beans,1369
610,2020-11-06,Mukono,Beans,4085
611,2020-01-16,Kansanga,MAIZE,1617
612,2021-03-10,,Beans,1680
613,2021-05-09,Nakasero,Maize,1658
614,2020-14-50,,BEANS,1197
615,2021-04-07,Nakasero,MAIZE,4698
616,2020-11-11,Nakasero,MAIZE,945
617,2020-10-08,Kansanga,Maize,1051
618,2020-10-24,Kansanga,Beans,2421
619,2021-04-05,Bwaise,Beans,3189
620,2020-10-26,Bwaise,Beans,4008
621,2021-02-06,Bwaise,BEANS,3444
622,2021-03-25,Kansanga,BEANS,3002
623,2020-11-26,,Maize,1646
624,2021-01-10,Mukono,Maize,4654
625,2020-10-23,Kansanga,MAIZE,2634
626,2020-08-29,Bwaise,Beans,2883
627,2020-02-16,Kansanga,Beans,2456
628,2020-11-10,Bwaise,MAIZE,1967
629,2021-03-22,Bwaise,BEANS,831
630,2020-02-02,Nakasero,Beans,2193
631,2020-07-17,Kansanga,BEANS,826
632,2020-12-26,,Beans,2657
633,2020-07-11,Kansanga,Beans,1137
634,2021-04-09,Bwaise,BEANS,3326
635,2020-11-05,Mukono,MAIZE,2384
636,2020-04-18,Bwaise,MAIZE,1469
637,2020-06-18,Mukono,BEANS,4424
638,2021-03-02,Kansanga,Maize,1547
639,2020-11-18,,Maize,1703
640,2020-04-02,,BEANS,652
641,2021-02-24,Nakasero,Maize,4361
642,2021-03-01,Kansanga,MAIZE,1989
643,2020-03-26,Nakasero,BEANS,1063
644,2020-02-25,Mukono,MAIZE,4631
645,2020-11-06,Mukono,MAIZE,819
646,2021-01-20,Mukono,Maize,1567
